zip,primary_city,acceptable_cities,state,county,latitude,longitude
14550,Silver Springs,"Rock Glen, Silver Spgs",NY,Wyoming County,42.66,-78.08
14551,Sodus,Sodus Center,NY,Wayne County,43.23,-77.06
14555,Sodus Point,,NY,Wayne County,43.26,-76.99
14559,Spencerport,,NY,Monroe County,43.18,-77.8
14560,Springwater,"Webster Crossing, Webster Crsng",NY,Ontario County,42.68,-77.57
14561,Stanley,,NY,Ontario County,42.82,-77.12
14564,Victor,,NY,Ontario County,42.98,-77.41
14568,Walworth,,NY,Wayne County,43.14,-77.27
14569,Warsaw,,NY,Wyoming County,42.74,-78.14
14571,Waterport,,NY,Orleans County,43.33,-78.24
14572,Wayland,,NY,Steuben County,42.56,-77.59
14580,Webster,,NY,Monroe County,43.21,-77.42
14585,West Bloomfield,W Bloomfield,NY,Ontario County,42.89,-77.52
14586,West Henrietta,W Henrietta,NY,Monroe County,43.03,-77.69
14589,Williamson,,NY,Wayne County,43.24,-77.15
14590,Wolcott,,NY,Wayne County,43.22,-76.81
14591,Wyoming,,NY,Wyoming County,42.82,-78.08
14603,Rochester,,NY,Monroe County,43.16,-77.61
14604,Rochester,,NY,Monroe County,43.16,-77.61
14605,Rochester,,NY,Monroe County,43.16,-77.61
14606,Rochester,Gates,NY,Monroe County,43.16,-77.61
14607,Rochester,,NY,Monroe County,43.16,-77.61
14608,Rochester,,NY,Monroe County,43.16,-77.61
14609,Rochester,Irondequoit,NY,Monroe County,43.16,-77.61
14610,Rochester,Brighton,NY,Monroe County,43.16,-77.61
14611,Rochester,,NY,Monroe County,43.16,-77.61
14612,Rochester,Greece,NY,Monroe County,43.16,-77.61
14613,Rochester,,NY,Monroe County,43.16,-77.61
14614,Rochester,,NY,Monroe County,43.16,-77.61
14615,Rochester,Greece,NY,Monroe County,43.16,-77.61
14616,Rochester,Greece,NY,Monroe County,43.16,-77.61
14617,Rochester,Irondequoit,NY,Monroe County,43.16,-77.61
14618,Rochester,"Loehmanns Plaza, Loehmanns Plz",NY,Monroe County,43.16,-77.61
14619,Rochester,,NY,Monroe County,43.16,-77.61
14620,Rochester,Brighton,NY,Monroe County,43.16,-77.61
14621,Rochester,,NY,Monroe County,43.16,-77.61
14622,Rochester,Irondequoit,NY,Monroe County,43.16,-77.61
14623,Rochester,,NY,Monroe County,43.16,-77.61
14624,Rochester,"Gates, Westgate",NY,Monroe County,43.16,-77.61
14625,Rochester,Panorama,NY,Monroe County,43.16,-77.61
14626,Rochester,"Greece, Ridgemont",NY,Monroe County,43.16,-77.61
14701,Jamestown,West Ellicott,NY,Chautauqua County,42.09,-79.23
14706,Allegany,,NY,Cattaraugus County,42.09,-78.49
14708,Alma,,NY,Allegany County,42.01,-78.02
14709,Angelica,,NY,Allegany County,42.3,-78.02
14710,Ashville,,NY,Chautauqua County,42.11,-79.42
14711,Belfast,,NY,Allegany County,42.31,-78.09
14712,Bemus Point,,NY,Chautauqua County,42.16,-79.39
14714,Black Creek,,NY,Allegany County,42.29,-78.24
14715,Bolivar,,NY,Allegany County,42.06,-78.17
14716,Brocton,,NY,Chautauqua County,42.38,-79.44
14717,Caneadea,,NY,Allegany County,42.35,-78.21
14718,Cassadaga,,NY,Chautauqua County,42.34,-79.31
14719,Cattaraugus,,NY,Cattaraugus County,42.32,-78.86
14721,Ceres,,NY,Allegany County,42,-78.27
14723,Cherry Creek,,NY,Chautauqua County,42.29,-79.1
14724,Clymer,,NY,Chautauqua County,42.05,-79.66
14726,Conewango Valley,Conewango Vly,NY,Cattaraugus County,42.26,-79.01
14727,Cuba,,NY,Allegany County,42.21,-78.27
14728,Dewittville,,NY,Chautauqua County,42.24,-79.4
14729,East Otto,,NY,Cattaraugus County,42.4,-78.74
14731,Ellicottville,,NY,Cattaraugus County,42.27,-78.67
14733,Falconer,,NY,Chautauqua County,42.11,-79.19
14735,Fillmore,,NY,Allegany County,42.46,-78.11
14736,Findley Lake,,NY,Chautauqua County,42.12,-79.73
14737,Franklinville,,NY,Cattaraugus County,42.33,-78.45
14738,Frewsburg,,NY,Chautauqua County,42.05,-79.16
14739,Friendship,,NY,Allegany County,42.2,-78.14
14740,Gerry,,NY,Chautauqua County,42.21,-79.16
14741,Great Valley,,NY,Cattaraugus County,42.21,-78.59
14743,Hinsdale,Ischua,NY,Cattaraugus County,42.16,-78.38
14744,Houghton,,NY,Allegany County,42.42,-78.16
14747,Kennedy,,NY,Chautauqua County,42.14,-79.07
14748,Kill Buck,,NY,Cattaraugus County,42.14,-78.61
14750,Lakewood,,NY,Chautauqua County,42.1,-79.32
14753,Limestone,,NY,Cattaraugus County,42.02,-78.63
14754,Little Genesee,Little Genese,NY,Allegany County,42.02,-78.23
14755,Little Valley,,NY,Cattaraugus County,42.24,-78.79
14757,Mayville,,NY,Chautauqua County,42.25,-79.5
14760,Olean,Knapp Creek,NY,Cattaraugus County,42.08,-78.43
14767,Panama,,NY,Chautauqua County,42.07,-79.48
14769,Portland,,NY,Chautauqua County,42.38,-79.46
14770,Portville,,NY,Cattaraugus County,42.03,-78.33
14772,Randolph,,NY,Cattaraugus County,42.16,-78.97
14775,Ripley,,NY,Chautauqua County,42.26,-79.71
14777,Rushford,,NY,Allegany County,42.4,-78.23
14779,Salamanca,,NY,Cattaraugus County,42.16,-78.72
14781,Sherman,,NY,Chautauqua County,42.16,-79.59
14782,Sinclairville,,NY,Chautauqua County,42.26,-79.25
14784,Stockton,,NY,Chautauqua County,42.31,-79.38
14787,Westfield,,NY,Chautauqua County,42.32,-79.57
14801,Addison,,NY,Steuben County,42.1,-77.23
14802,Alfred,,NY,Allegany County,42.25,-77.78
14803,Alfred Station,Alfred Sta,NY,Allegany County,42.24,-77.81
14804,Almond,,NY,Allegany County,42.31,-77.73
14805,Alpine,,NY,Schuyler County,42.31,-76.72
